TESTER completó el nivel 1 en 12,745 segundos.
TESTER completó el nivel 2 en 0,172 segundos.
TESTER completó el nivel 3 en 0,156 segundos.
TESTER completó el nivel 4 en 0,156 segundos.
TESTER completó el nivel 5 en 0,125 segundos.
TESTER completó el nivel 6 en 0,234 segundos.
TESTER completó el nivel 7 en 0,171 segundos.
TESTER completó el nivel 8 en 0,172 segundos.
TESTER completó el nivel 9 en 0,125 segundos.
TESTER completó el nivel 10 en 0,14 segundos.
TESTER completó el nivel 11 en 0,156 segundos.
TESTER completó el nivel 12 en 0,125 segundos.
TESTER completó el nivel 13 en 0,156 segundos.
TESTER completó el nivel 14 en 0,125 segundos.
TESTER completó el nivel 1 en 2,979 segundos.
TESTER completó el nivel 2 en 0,156 segundos.
TESTER completó el nivel 3 en 0,172 segundos.
TESTER completó el nivel 4 en 0,156 segundos.
TESTER completó el nivel 5 en 0,125 segundos.
TESTER completó el nivel 6 en 0,14 segundos.
TESTER completó el nivel 7 en 0,14 segundos.
TESTER completó el nivel 8 en 0,141 segundos.
TESTER completó el nivel 9 en 0,125 segundos.
TESTER completó el nivel 10 en 0,124 segundos.
TESTER completó el nivel 11 en 0,11 segundos.
TESTER completó el nivel 12 en 0,14 segundos.
TESTER completó el nivel 13 en 0,125 segundos.
TESTER completó el nivel 14 en 0,109 segundos.
TESTER completó el nivel 1 en 33,781 segundos.
TESTER completó el nivel 2 en 0,203 segundos.
TESTER completó el nivel 3 en 0,156 segundos.
TESTER completó el nivel 4 en 0,171 segundos.
TESTER completó el nivel 5 en 0,141 segundos.
TESTER completó el nivel 6 en 0,218 segundos.
TESTER completó el nivel 7 en 0,249 segundos.
TESTER completó el nivel 8 en 0,172 segundos.
TESTER completó el nivel 9 en 0,203 segundos.
TESTER completó el nivel 10 en 0,14 segundos.
TESTER completó el nivel 11 en 0,125 segundos.
TESTER completó el nivel 12 en 0,218 segundos.
TESTER completó el nivel 13 en 0,234 segundos.
TESTER completó el nivel 14 en 0,156 segundos.
TESTER completó el nivel 1 en 2,216 segundos.
TESTER completó el nivel 2 en 0,156 segundos.
TESTER completó el nivel 3 en 0,218 segundos.
TESTER completó el nivel 4 en 0,156 segundos.
TESTER completó el nivel 5 en 0,125 segundos.
TESTER completó el nivel 6 en 0,156 segundos.
